Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications
D011,CM1-Modis,Cross-level requirements dataset for traceability tasks from the aerospace domain,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/CM1-Modis.csv,None,Requirements,Pair,management,traceability,aerospace,720,en,"Positive,Negative","D010,D036",P049
D012,CoffeeMachine_conflicts,Collection of requirement datasets from the CoffeeMachine project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,services,29,en,"Consistent,Inconsistent",-,P047
D013,CQ-BEN,Competency questions (CQ) repository integrating datasets from multiple independent studies.,"Alharbi, R., de Berardinis, J., Grasso, F., Payne, T. R., & Tamma, V. (2024, November). Characteristics and desiderata for competency question benchmarks. In Proceedings of the ISWC 2024 Special Session on Harmonising Generative AI and Semantic Web Technologies",2024,https://github.com/KE-UniLiv/CQ-benchmark/,None,Questions,Sentence,elicitation,extraction,multiple,3780,en,-,-,P057
D014,Cross-project_trace,Cross-level requirements dataset for linking high-level requirements and low-level requirements,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/Cross_dataset.csv,None,Requirements,Pair,management,traceability,multiple,1597,en,"Positive,Negative","D010,D036,D020,D057,D027,D009",P049
D015,Dalpiaz2018,Requirements expressed as user stories,"Dalpiaz, Fabiano (2018), “Requirements data sets (user stories)”, Mendeley Data, V1, doi: 10.17632/7zbk8zsd8y.1",2018,https://data.mendeley.com/datasets/7zbk8zsd8y/1,Creative Commons Attribution Share Alike 4.0 International,User stories,Document,analysis,extraction,software,1669,en,-,-,P148
D016,DOSSPRE,Collection of students’ software project requirements including both security-related and non-security-related items.,"Kadebu, Prudence (2024), “Dataset of Students’ Software Projects Requirements (DOSSPRE)”, Mendeley Data, V2, doi: 10.17632/23xtbvk6yp.2",2024,https://data.mendeley.com/datasets/23xtbvk6yp/2,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,academia,1317,en,"Security,Non-Security;Functional,Usability,Portability,Performance,Availability,Authentication,Authorization,Immunity,Integrity,Intrusion detection,Confidentiality,Auditing,Survivability,Maintainability",-,P032
D017,Dronology,Requirements descriptions from an open-source project on Unmanned Aerial Vehicle (UAV) by the University of Notre Dame.,"Jane Cleland-Huang, Michael Vierhauser, Sean Bayley: Dronology: An Incubator for Cyber-Physical System Research, New Ideas and Emerging Results Track, International Conference on Software Engineering (ICSE), Gothenburg, Sweden, 2018.",2018,https://dronology.info/datasets/,None,Requirements,Document,elicitation,extraction,aerospace,99,en,-,-,P005
D018,Elenga2024,Collection of requirement pairs from various projects labelled as contradicting and non-contradicting.,"Gärtner, A.E., Göhlich, D. Automated requirement contradiction detection through formal logic and LLMs. Autom Softw Eng 31, 49 (2024). https://doi.org/10.1007/s10515-024-00452-x",2024,https://static-content.springer.com/esm/art%3A10.1007%2Fs10515-024-00452-x/MediaObjects/10515_2024_452_MOESM1_ESM.csv,None,Requirements,Pair,management,traceability,multiple,87,en,"Simplex Contradictory,Idem Contradictory,Alius Contradictory,Simplex Contrary,Idem Contrary,Alius Contrary,Simplex Subaltern,Idem Subaltern,Alius Subaltern, None",-,P069
D019,ETCS_conflicts,Collection of requirement datasets from the ETCS project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,railway,34,en,"Consistent,Inconsistent",-,P047
D020,GANTT,Cross-level requirements dataset for traceability tasks from the GANTT software project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/GANNTDataset.csv,None,Requirements,Pair,management,traceability,software,204,en,"Positive,Negative",-,"P049,P058,P116"
D021,GANTT-WARC,Cross-level requirements dataset for traceability tasks from the software domain,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/Cross_dataset.csv,None,Requirements,Pair,management,traceability,software,460,en,"Positive,Negative","D020,D057",P049
D022,Groen2025_P1,"User reviews classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Document,verification & validation,classification,multiple,1000,en,"Helpful,Useless",-,P003
D023,Groen2025_P2,"User review sentences classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Sentence,verification & validation,classification,multiple,1347,en,"Helpful,Useless",-,P003
D024,Groen2025_P3,User review sentences classified into a taxonomy of quality aspects.,"Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Sentence,verification & validation,classification,multiple,624,en,"Feature Request,User-friendliness,Stability,Performance,Security,Compatibility,_multiple",-,P003
D025,Guidotti2024,"Requirements written in the Property Specification Pattern (PSP) format, specifically tailored for the automotive domain","Guidotti, D., Pandolfo, L., Pulina, L., & Azzena, S. (2024). Automotive Domain Property Specification Pattern Dataset [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13373276",2024,https://zenodo.org/records/13373276,GNU General Public License v3.0 ,Requirements,Document,specification,modelling,automotive,1000,en,-,-,P089
D026,Hippargi2025,System and software requirements with test cases from an automotive firmware project annotated with traceability links.,"Hippargi, V. (2025). Case study on ChatGPT for RE [Data set]. GitHub. https://github.com/VibhaHippargi/CaseStudyonChatGPTforRE",2025,https://github.com/VibhaHippargi/CaseStudyonChatGPTforRE/tree/main,None,Requirements,Pair,management,traceability,automotive,20,en,-,-,P043
D027,InfusionPump,Cross-level requirements dataset for traceability tasks from the InfusionPump healthcare project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/InfusionPump.csv,None,Requirements,Pair,management,traceability,healthcare,165,en,"Positive,Negative",-,"P049,P116"
D028,InfusionPump-CCHIT,Cross-level requirements dataset for traceability tasks from the healthcare domain,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/GANNT-WARC.csv,None,Requirements,Pair,management,traceability,healthcare,417,en,"Positive,Negative","D027,D009",P049
D029,Khan2025,App reviews annotated with emotion labels by humans and ChatGPT,"Khan, N. D., Khan, J. A., Li, J., Ullah, T., & Zhao, Q. (2025). Leveraging large language model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks. Expert Systems with Applications, 261, 125524. https://doi.org/10.1016/j.eswa.2024.125524",2025,https://github.com/nekdil566/Experimental-work-and-datasets/blob/main/R2_ChatGPt_datasett.csv,None,User reviews,Document,verification & validation,classification,multiple,11810,en,"Anger,Confusion,Disgust,Distrust,Disappointment,Fear,Frustration,Sadness",-,P020
D030,Kolthoff2024,User story and GUI annotation dataset across multiple preprocessing steps,"-. K. Kolthoff, F. Kretzer, C. Bartelt, A. Maedche and S. P. Ponzetto, ""Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-Based Approach,"" 2024 IEEE 32nd International Requirements Engineering Conference (RE), Reykjavik, Iceland, 2024, pp. 380-388, doi: 10.1109/RE59067.2024.00045. keywords: {Large language models;Interactive systems;Natural languages;Prototypes;Requirements engineering;Graphical user interfaces;GUI Prototyping;Requirements Elicitation;Requirements Validation;User Stories;Assistance},",2024,https://github.com/IUS-GUI-Prototyping/IUS-GUI,None,User stories,Document,verification & validation,traceability,automotive,327,en,-,-,P110
D031,LERE,Chinese requirements categorized into eight types of errors.,"H. Han, K. Chen, J. He and Z. Huang, ""LERE: A Method Based on LLMS and Enhanced Ears in Requirements Engineering,"" 2025 8th International Conference on Software and System Engineering (ICoSSE), Nice, France, 2025, pp. 80-85, doi: 10.1109/ICoSSE65712.2025.00022.",2025,https://github.com/hanhan13579/LERE,None,Requirements,Document,specification,classification,industry,138,chn,"Uniqueness,Conciseness,Verifiability,Feasibility,Avoidance of passive voice,Adherence to paradigms,Prohibition of symbols,Prohibition of pronouns",-,P027
D032,LEXDEMOD,Contractual commercial requirement sentences from 23 lease contracts from the LEDGAR corpus annotated with deontic modality,"Sancheti, A., Garimella, A., Srinivasan, B. V., & Rudinger, R. (2022). Agent-specific deontic modality detection in legal language. Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, 11563–11579. Association for Computational Linguistics. https://doi.org/10.18653/v1/2022.emnlp-main.795",2022,https://github.com/adobe-research/LexDeMod,None,Requirements,Sentence,analysis,classification,commerce,7092,en,"Obligation,Entitlement,Prohibition,Permission,No obligation,No entitlement",-,P052
D033,Library_conflicts,Collection of requirement datasets from the Library project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,services,20,en,"Consistent,Inconsistent",-,P047
D034,MetroCode_entities,Requirements from Chapters 18-22 from the 'Code for Design of Metro' labelled with BIO tags for requirements information extraction,,,https://huggingface.co/datasets/OrangeeSofty/Metro_Code_Chapters_18_to_22_Data/tree/main/out_bio_txt,Apache 2.0,Requirements,Token,specification,classification,railway,14032,chn,"Subject,Attribute,Objec,Action,Function,Value,Principle,Condition,Outside ",D035,P018
D035,MetroCode_types,Requirements from Chapters 18-22 from the 'Code for Design of Metro' classified into requirement types,,,https://huggingface.co/datasets/OrangeeSofty/Metro_Code_Chapters_18_to_22_Data/tree/main/out_bio_txt,Apache 2.0,Requirements,Document,analysis,classification,railway,516,chn,"Functional requirements,Interface requirements,Performance requirements,Physical requirements,Design constraints",-,P018
D036,Modis,Cross-level requirements dataset for traceability tasks from the Modis aerospace project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/ModisDataset.csv,None,Requirements,Pair,management,traceability,aerospace,49,en,"Positive,Negative",-,"P049,P058"
D037,Motger2024,App reviews annotated at token level with app features extracted from a popular software recommendation platform,"Q. Motger, A. Miaschi, F. Dell'Orletta, X. Franch and J. Marco, ""T-FREX: A Transformer-based Feature Extraction Method from Mobile App Reviews,"" 2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER), Rovaniemi, Finland, 2024, pp. 227-238, doi: 10.1109/SANER60148.2024.00030.",2023,https://github.com/nlp4se/t-frex,GNU General Public License v3.0 ,User reviews,Token,verification & validation,extraction,multiple,475382,en,"B-feature,I-feature,O",-,P131
D038,MultiDomainFPA,Multi-domain collection of question-answer pairs for function point analysis.,"Zhao, Z., Jiang, H., Zhao, R., & He, B. (2024). Emergence of a novel domain expert: A generative AI-based framework for software function point analysis. Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering (ASE '24), 2245–2250. Association for Computing Machinery. https://doi-org.recursos.biblioteca.upc.edu/10.1145/3691620.3695293",2024,https://ieeexplore.ieee.org/document/10764829/,None,QA,Pair,analysis,extraction,multiple,778,en,-,-,P070
D039,MURCIA_dataset,Regulatory changes in legal provisions covering four widely used regulations from the finance domain.,"Abualhaija, S. (2024). Artifact associated with ""AI-enabled Regulatory Change Analysis of Legal Requirements"". The 32nd IEEE International Requirements Engineering 2024 conference (RE'24), Iceland. Zenodo. https://doi.org/10.5281/zenodo.10959496",2024,https://zenodo.org/records/10959496,SNT Non Commercial LICENSE V.2,Legal text,Pair,analysis,classification,finance,1293,en,-,-,P075
D040,OPENCOSS_conflicts,"Requirements pairs related to the Open Platform for Evolutionary Certification Of Safety-critical Systems for railway, avionics, and automotive industries, labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,automotive,6786,en,"Neutral,Conflict",-,P005
D041,PCTD,Facebook app reviews classified according to their relevance with respect to privacy concerns,,,https://github.com/zhangjianzhang/PCTD/,None,User reviews,Document,verification & validation,classification,social networks,500,en,"Privacy review, Privacy-irrelevant review",-,P017
D042,PET,"Although there is a long tradition of work in NLP on extracting entities and relations from text, to date there exists little work on the acquisition of business processes from unstructured data such as textual corpora of process descriptions.","Bellan, P., Ghidini, C., Dragoni, M., Ponzetto, S. P., & van der Aa, H. (2022). Process extraction from natural language text: The PET dataset and annotation guidelines. In D. Nozza, L. C. Passaro, & M. Polignano (Eds.), Proceedings of the Sixth Workshop on Natural Language for Artificial Intelligence (NL4AI 2022) co-located with the 21st International Conference of the Italian Association for Artificial Intelligence (AIIA 2022), Udine, November 30th, 2022* (Vol. 3287, pp. 177–191). CEUR-WS.org. https://ceur-ws.org/Vol-3287/paper18.pdf",2022,https://huggingface.co/datasets/patriziobellan/PET,MIT License,Requirements,Token,analysis,extraction,enterprise,69487,en,"O,B-Actor,I-Actor,B-Activity,I-Activity,B-Activity Data,I-Activity Data,B-Further Specification,I-Further Specification,B-XOR Gateway,I-XOR Gateway,B-Condition Specification,I-Condition Specification,B-AND Gateway,I-AND Gateway",-,P111
D043,PROMISE,Requirements classified into functional and non-functional sub-types,"Menzies, T., Krishna, R., Pryor, D. (2016). The Promise Repository of Empirical Software Engineering Data; https://openscience.us/repo. North Carolina State University, Department of Computer Science",2016,https://openscience.us/repo/requirements/requirements-other/nfr.html,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,625,en,"Functional,Availability,Legal,Look and feel,Maintainability,Operational,Performance,Scalability,Security,Usability,Fault tolerance,Portability",-,"P019,P047,P121,P153"
D044,PROMISE_exp,Extension from PROMISE dataset containing requirements classified into functional and non-functional sub-types,"Lima, M.; Valle, V.; Costa, E.; Lira, F.; Gadelha, B. Software engineering repositories: Expanding the PROMISE database. In Proceedings of the 33rd Brazilian Symposium on Software Engineering, Salvador, Brazil, 23–27 September 2019; pp. 427–436.",2019,https://github.com/AleksandarMitrevski/se-requirements-classification,None,Requirements,Document,analysis,classification,multiple,969,en,"Functional,Availability,Legal,Look and feel,Maintainability,Operational,Performance,Scalability,Security,Usability,Fault tolerance,Portability",D043,"P019,P028,P052,P120"
D045,PROMISE_exp_security,Extension from PROMISE_exp dataset containing requirements classified as security NFRs and non-security NFRs.,"Subahi, A. F. (2025). Enhancing Software Sustainability: Leveraging Large Language Models to Evaluate Security Requirements Fulfillment in Requirements Engineering. Systems, 13(2), 114. https://doi.org/10.3390/systems13020114 ",2025,https://github.com/AleksandarMitrevski/se-requirements-classification,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,803,en,"Security,Non-security",D044,P019
D046,PURE,Publicly available natural language requirements documents collected from the Web,"Ferrari, A., Spagnolo, G. O., & Gnesi, S. (2018). PURE: a Dataset of Public Requirements Documents (2.0) [Data set]. 2017 IEEE 25th International Requirements Engineering Conference (RE), Lisbon, Portugal. Zenodo. https://doi.org/10.5281/zenodo.7118517",2018,https://zenodo.org/records/7118517,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,multiple,34268,en,-,-,"P005,P080,P042,P052,P078"
D047,PURE_conflicts,"Requirements pairs collected from the web from multiple domains labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,multiple,2211,en,"Neutral,Conflict",D047,P005
D048,RailwayReq Corpus,Subset of requirements documents sharing the same domain from the PURE dataset,"Perko, A., & Wotawa, F. (2024). Replication Package for: Evaluating OpenAI Large Language Models for Generating Logical Abstractions of Technical Requirements Documents. 2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security (QRS), Cambridge, United Kingdom. IEEE. https://doi.org/10.5281/zenodo.11264429",2024,https://zenodo.org/records/11264429,Creative Commons Attribution 4.0 International,Requirements,Document,specification,modelling,railway,1306,en,-,D046,P098
D049,RE-2019-Materials,"Multiple dataset extracted from diferent experiments: PROMISE, Dronology, ReqView, Leeds Library and WASP","Fabiano Dalpiaz, Davide Dell'Anna, Fatma Başak Aydemir, & Sercan Çevikol. (2019). explainable-re/RE-2019-Materials v0 (Versión v0). Zenodo. https://doi.org/10.5281/zenodo.3309669",2019,https://zenodo.org/records/3309669,None,Requirements,Document,management,classification,multiple,1501,en,"IsFunctional,IsQuality,OnlyFunctional,OnlyQuality","D043,D017",P121
D050,ReqEval,"Collection of requirements orignated from seven distinct domains: spacecraft, diagnostic, digital home, digital library repository management, weather, archive file manipulation and railway.","S. Yildirim, G. Malik, M. Cevik and A. Başar, ""Anaphora Resolution in Software Requirements Engineering: A Comparison of Generative NLP Pipelines and Encoder-Based Models,"" 2024 34th International Conference on Collaborative Advances in Software and COmputiNg (CASCON), Toronto, ON, Canada, 2024, pp. 1-6, doi: 10.1109/CASCON62161.2024.10837905.",2021,https://github.com/frieden84/nlp4re-reqeval,Creative Commons Attribution 4.0 International,Requirements,Sentence,analysis,classification,multiple,200,en,"Nocuous,Inocuous",-,P083
D051,SecReq,Collection of security requirements from three open-source software projects,"Wang, W., Mahakala, K. R., Gupta, A., Hussein, N., & Wang, Y. (2019). Data on security requirements in open-source software projects. Data in Brief, 25, 103590. https://doi.org/10.1016/j.dib.2018.12.029",2019,https://doi.org/10.1016/j.dib.2018.12.029,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,software,817,en,Security,-,P048
D052,StackOverflow_conflicts,"Post pairs from StackOverflow labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,management,traceability,software,4329,en,"Neutral,Conflict",-,P005
