ID,Authors,Title,Year,Source title,Cited by,DOI,Abstract
P028,"A., Florea, Alexandra; Ș.D., Achirei, Ștefan Daniel",Text Classification on Software and Hardware Requirements Using Natural Language Processing Techniques,2025,"SACI, IEEE International Symposium on Applied Computational Intelligence and Informatics",0,10.1109/SACI66288.2025.11030133,"This article presents a comparative study of text classification [1] models used in the automotive industries, using NLP (Natural Language Processing) [2]. The focus is placed on using the DistilBERT model [3] to classify requirements based on their functionality, with the goal of achieving a 90 % accuracy. Two significant experiments have been performed: the first compares performance on unprocessed and filtered data sets, while the second evaluates the impact of class distribution on various data sets. The results show that the model adjusted to a set of filtered data performs better than the model trained with initial data, with a final accuracy of 96%. Additionally, the model's performance is improved by balanced class distributions and data preprocessing methods like tokenisation and stopword removal. The study shows that early stopping mechanisms and filtering strategies improve generalisation and support minimise overfitting, which improves perspectives for the study of software and hardware requirement classification [4] using natural language processing. © 2025 Elsevier B.V., All rights reserved."
P032,"R., Batoool, Rizwana; A., Naseer, Ayesha",Functional and Non-functional Requirements Classification: A Comparative Evaluation of Pre-trained LLMs and ML Techniques,2025,,0,10.1109/ComTech65062.2025.11034464,"Identifying functional and non-functional requirements at an early phase is essential for project success. However, the requirements engineering community still lacks a comprehensive understanding of these requirements, which are often intertwined and expressed in natural language. Requirements classification is crucial for correctly extracting and organizing functional and non-functional requirements into specified categories. Automated classification reduces development costs, uncertainty, and misunderstanding. Machine learning (ML) and deep learning approaches have been applied for automatic classification in recent studies. This study conducts a comparative analysis by combining two publicly available PROMISE_exp and DOSSPRE datasets, which was classified as functional and non-functional classes of software requirements. First of all, we applied natural language processing (NLP) techniques to the requirements text to extract feature embeddings, followed by training four popular machine learning (ML) algorithms on these requirements. Inspired by the success of large language models (LLMs) in various tasks, we also fine-tuned four text-based pretrained (LLMs) and compared their performance with traditional ML models. Our empirical analysis shows that these models outperform traditional ML models on the combined dataset, offering developers an efficient method to detect and classify software requirements early. © 2025 Elsevier B.V., All rights reserved."
P042,"S.T.U., Shah, Syed Tauhid Ullah; M., Hussein, Mohamad; A., Barcomb, Ann; M., Moshirpour, Mohammad",From Inductive to Deductive: LLMs-Based Qualitative Data Analysis in Requirements Engineering,2025,CEUR Workshop Proceedings,0,,"Requirements Engineering (RE) is essential for developing complex and regulated software projects. Given the challenges in transforming stakeholder inputs into consistent software designs, Qualitative Data Analysis (QDA) provides a systematic approach to handling free-form data. However, traditional QDA methods are time-consuming and heavily reliant on manual effort. In this paper, we explore the use of Large Language Models (LLMs), including GPT-4, Mistral, and LLaMA-2, to improve QDA tasks in RE. Our study evaluates LLMs’ performance in inductive (zero-shot) and deductive (one-shot, few-shot) annotation tasks, revealing that GPT-4 achieves substantial agreement with human analysts in deductive settings, with Cohen’s Kappa scores exceeding 0.7, while zero-shot performance remains limited. Detailed, context-rich prompts significantly improve annotation accuracy and consistency, particularly in deductive scenarios, and GPT-4 demonstrates high reliability across repeated runs. These findings highlight the potential of LLMs to support QDA in RE by reducing manual effort while maintaining annotation quality. The structured labels automatically provide traceability of requirements and can be directly utilized as classes in domain models, facilitating systematic software design. © 2025 Elsevier B.V., All rights reserved."
P043,"V., Hippargi, Vibhashree; E., Kamsties, Erik; J., Naumann, Jürgen",Evaluating the Capabilities of LLMs in Traceability Maintenance for Automotive System and Software Requirements,2025,CEUR Workshop Proceedings,0,,"Various researchers have explored the potential of Large Language Models (LLMs) for several software engineering tasks, including design solution generation, coding, and test case creation. This paper presents five empirical studies performed on OpenAI’s ChatGPT-4o to analyze its performance to support different requirements engineering tasks related to requirements traceability. Using a dataset from an ongoing automotive project and industry experts’ assessments as ground truth, we evaluate ChatGPT-4o’s ability to assess trace link quality between system requirements, software requirements and test cases, to predict the trace links and also to analyze the quality of the requirements itself. We also tested ChatGPT-4o with an existing project ticket. Our findings in these studies indicate that ChatGPT-4o demonstrated strong performance, as evidenced by the metrics. These results suggest that ChatGPT-4o can be effectively integrated into daily industry practices as a support tool. The dataset is available on GitHub [3]. © 2025 Elsevier B.V., All rights reserved."
P047,"A., El-Hajjami, Abdelkarim; C., Salinesi, Camille",Synthline: A Product Line Approach for Synthetic Requirements Engineering Data Generation Using Large Language Models,2025,Lecture Notes in Business Information Processing,0,10.1007/978-3-031-92474-3_13,"While modern Requirements Engineering (RE) heavily relies on natural language processing and Machine Learning (ML) techniques, their effectiveness is limited by the scarcity of high-quality datasets. This paper introduces Synthline, a Product Line (PL) approach that leverages Large Language Models to systematically generate synthetic RE data for classification-based use cases. Through an empirical evaluation conducted in the context of using ML for the identification of requirements specification defects, we investigated both the diversity of the generated data and its utility for training downstream models. Our analysis reveals that while synthetic datasets exhibit less diversity than real data, they are good enough to serve as viable training resources. Moreover, our evaluation shows that combining synthetic and real data leads to substantial performance improvements. Specifically, hybrid approaches achieve up to 85% improvement in precision and a 2× increase in recall compared to models trained exclusively on real data. These findings demonstrate the potential of PL-based synthetic data generation to address data scarcity in RE. We make both our implementation and generated datasets publicly available to support reproducibility and advancement in the field. © 2025 Elsevier B.V., All rights reserved."
P048,"G., Xanthopoulou, Georgia; M.G., Siavvas, Miltiadis G.; I., Kalouptsoglou, Ilias; D.D., Kehagïas, Dionysios D.; D.K., Tzovaras, Dimitrios K.",Software Requirements Classification: From Bag-of-Words to Transformer,2025,Lecture Notes in Networks and Systems,0,10.1007/978-3-031-76459-2_35,"Automated classification of software requirements is valuable for software engineering. Recently, Natural Language Processing (NLP) and Machine Learning (ML) techniques have been utilized as an alternative to manual classification of requirements. In this study, we conduct a thorough empirical evaluation of several NLP methods utilized for efficient classification of software requirements. We focus both on the binary classification between functional and non-functional requirements (NFRs), and on the multi-class classification of the NFRs into specific categories, such as security, performance, usability, etc. For this purpose, we collected and enriched a large dataset of labeled software requirements, paying particular emphasis on security-related requirements. A wide range of NLP-based models were constructed and compared, raging from simple ML models that utilize the Bag-of-Words (BoW) technique for text representation to the more advanced Large Language Models (LLMs) that emerged recently. The results of our analysis demonstrated the ability of all the examined NLP-based models to provide highly accurate requirements classification both at binary and in multi-class setting, with Transformer-based models demonstrating the best predictive performance, thus revealing the benefits of transfer learning. © 2025 Elsevier B.V., All rights reserved."
P049,"C., Ge, Chuyan; T., Wang, Tiantian; X., Yang, Xiaotian; C., Treude, Christoph",Cross-Level Requirements Tracing Based on Large Language Models,2025,IEEE Transactions on Software Engineering,0,10.1109/TSE.2025.3572094,"Cross-level requirements traceability, linking high-level requirements (HLRs) and low-level requirements (LLRs), is essential for maintaining relationships and consistency in software development. However, the manual creation of requirements links necessitates a profound understanding of the project and entails a complex and laborious process. Existing machine learning and deep learning methods often fail to fully understand semantic information, leading to low accuracy and unstable performance. This paper presents the first approach for cross-level requirements tracing based on large language models (LLMs) and introduces a data augmentation strategy (such as synonym replacement, machine translation, and noise introduction) to enhance model robustness. We compare three fine-tuning strategies—LoRA, P-Tuning, and Prompt-Tuning—on different scales of LLaMA models (1.1B, 7B, and 13B). The fine-tuned LLMs exhibit superior performance across various datasets, including six single-project datasets, three cross-project datasets within the same domain, and one cross-domain dataset. Experimental results show that fine-tuned LLMs outperform traditional information retrieval, machine learning, and deep learning methods on various datasets. Furthermore, we compare the performance of GPT and DeepSeek LLMs under different prompt templates, revealing their high sensitivity to prompt design and relatively poor result stability. Our approach achieves superior performance, outperforming GPT-4o and DeepSeek-r1 by 16.27% and 16.8% in F-measure on cross-domain datasets. Compared to the baseline method that relies on prompt engineering, it achieves a maximum improvement of 13.8%. © 2025 Elsevier B.V., All rights reserved."
P052,"S.S., Ghaisas, Smita S.; A., Singhal, Anmol",Dealing with Data for RE: Mitigating Challenges While Using NLP and Generative AI,2025,,1,10.1007/978-3-031-73143-17,"Across the dynamic business landscape today, enterprises face an ever-increasing range of challenges. These include the constantly evolving regulatory environment, the growing demand for personalization within software applications and the heightened emphasis on governance. In response to these multifaceted demands, large enterprises have been adopting automation that spans from the optimization of core business processes to the enhancement of customer experiences. Indeed, Artificial Intelligence (AI) has emerged as a pivotal element of modern software systems. In this context, data plays an indispensable role. AI-centric software systems based on supervised learning and operating at an industrial scale require large volumes of training data to perform effectively. Moreover, the incorporation of generative AI has led to a growing demand for adequate evaluation benchmarks. Our experience in this field has revealed that the requirement for large datasets for training and evaluation introduces a host of intricate challenges. This book chapter explores the evolving landscape of Software Engineering (SE) in general, and Requirements Engineering (RE) in particular, in this era marked by AI integration. We discuss challenges that arise while integrating Natural Language Processing (NLP) and generative AI into enterprise-critical software systems. The chapter provides practical insights, solutions and examples to equip readers with the knowledge and tools necessary for effectively building solutions with NLP at their cores. We reflect on how these text data-centric tasks sit together with the traditional RE process. With this effort, we hope to engage students, faculty and industry researchers in a discussion that could lead to the identification of new and emerging text data-centric tasks relevant to RE. We also highlight new RE tasks that may be necessary for handling the increasingly important text data-centricity involved in developing software systems. © 2025 Elsevier B.V., All rights reserved."
P057,"R., Alharbi, Reham; J.D., Berardinis, Jacopo De; F., Grasso, Floriana; T.R., Payne, Terry R.; V.A.M., Tamma, Valentina A.M.",Characteristics and Desiderata for Competency Question Benchmarks,2025,CEUR Workshop Proceedings,0,,"Competency Questions (CQs) are essential in ontology engineering; they express an ontology’s functional requirements through natural language questions, offer crucial insights into an ontology’s scope, and are pivotal for various tasks, such as ontology reuse, testing, requirement specification, and pattern definition. Various approaches have emerged that make use of LLMs for the generation of CQs from different knowledge sources. However, comparative evaluations are hindered by differences in tasks, datasets and evaluation measures used. In this paper, we provide a set of desiderata for a benchmark of CQs, where we position state of the art approaches with respect to a categorisation of tasks, and highlight the main challenges hindering the definition of a community-based benchmark to support comparative studies. © 2025 Elsevier B.V., All rights reserved."
P058,"T., Hey, Tobias; D., Fuchß, Dominik; J., Keim, Jan; A., Koziolek, Anne",Requirements Traceability Link Recovery via Retrieval-Augmented Generation,2025,Lecture Notes in Computer Science,0,10.1007/978-3-031-88531-0_27,"[Context and Motivation] In software development, various interrelated artifacts are created. Access to information on the relation between these artifacts eases understanding of the system and enables tasks such as change impact and software reusability analyses. Manual trace link creation is labor-intensive and costly, and thus is often missing in projects. Automation could enhance the development and maintenance efficiency. [Question/Problem] Current methods for automatically recovering traceability links between different types of requirements do not achieve the necessary performance to be applied in practice, or require pre-existing links for machine learning. [Principal Ideas and Results] We propose to address this limitation by leveraging large language models (LLMs) with retrieval-augmented generation (RAG) for inter-requirements traceability link recovery. In an empirical evaluation on six benchmark datasets, we show that chain-of-thought prompting can be beneficial, open-source models perform comparably to proprietary ones, and that the approach can outperform state-of-the-art and baseline approaches. [Contribution] This work presents an approach for inter-requirements traceability link recovery using RAG and provides the first empirical evidence of its performance. © 2025 Elsevier B.V., All rights reserved."
P065,"F., Bozyigit, Fatma; T., Bardakci, Tolgahan; A., Khalilipour, Alireza; M., Challenger, Moharram; G.J., Ramackers, Guus J.; Ö., Babur, Önder; M.R., Chaudron, Michel R.V.",Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,2024,Software and Systems Modeling,8,10.1007/s10270-024-01176-y,"Software requirements specification describes users’ needs and expectations on some target system. Requirements documents are typically represented by unstructured natural language text. Such texts are the basis for the various subsequent activities in software development, such as software analysis and design. As part of software analysis, domain models are made that describe the key concepts and relations between them. Since the analysis process is performed manually by business analysts, it is time-consuming and may introduce mistakes. Recently, researchers have worked toward automating the synthesis of domain models from textual software requirements. Current studies on this topic have limitations in terms of the volume and heterogeneity of experimental datasets. To remedy this, we provide a curated dataset of software requirements to be utilized as a benchmark by algorithms that transform textual requirements documents into domain models. We present a detailed evaluation of two text-to-model approaches: one based on a large-language model (ChatGPT) and one building on grammatical rules (txt2Model). Our evaluation reveals that both tools yield promising results with relatively high F-scores for modeling the classes, attributes, methods, and relationships, with txt2Model performing better than ChatGPT on average. Both tools have relatively lower performance and high variance when it comes to the relation types. We believe our dataset and experimental evaluation pave to way to advance the field of automated model generation from requirements. © 2024 Elsevier B.V., All rights reserved."
P069,"A.E., Gärtner, Alexander Elenga; D., Göhlich, Dietmar",Automated requirement contradiction detection through formal logic and LLMs,2024,Automated Software Engineering,7,10.1007/s10515-024-00452-x,"This paper introduces ALICE (Automated Logic for Identifying Contradictions in Engineering), a novel automated contradiction detection system tailored for formal requirements expressed in controlled natural language. By integrating formal logic with advanced large language models (LLMs), ALICE represents a significant leap forward in identifying and classifying contradictions within requirements documents. Our methodology, grounded on an expanded taxonomy of contradictions, employs a decision tree model addressing seven critical questions to ascertain the presence and type of contradictions. A pivotal achievement of our research is demonstrated through a comparative study, where ALICE’s performance markedly surpasses that of an LLM-only approach by detecting 60% of all contradictions. ALICE achieves a higher accuracy and recall rate, showcasing its efficacy in processing real-world, complex requirement datasets. Furthermore, the successful application of ALICE to real-world datasets validates its practical applicability and scalability. This work not only advances the automated detection of contradictions in formal requirements but also sets a precedent for the application of AI in enhancing reasoning systems within product development. We advocate for ALICE’s scalability and adaptability, presenting it as a cornerstone for future endeavors in model customization and dataset labeling, thereby contributing a substantial foundation to requirements engineering. © 2024 Elsevier B.V., All rights reserved."
P070,"Z., Zhao, Zheng; H., Jiang, Hongxiang; R., Zhao, Ran; B., He, Bing",Emergence of A Novel Domain Expert: A Generative AI-based Framework for Software Function Point Analysis,2024,,0,10.1145/3691620.3695293,"Estimating software functional size is a crucial initial step before development, impacting costs and timelines. This involves applying standard Function Point Analysis (FPA) to the Software Requirements Specification (SRS). However, manual analysis by Function Point (FP) analysts during the splitting of FP entries from SRS remains inefficient and costly. To address this issue, for the first time, we propose an AI-based domain expert for FPA, named FPA-EX. It employs a large language model (LLM), intelligently extracts software FP entries from SRS, providing automated support to enhance efficiency. Specifically, we construct a multi-domain FPA dataset through collecting and annotating 778 question-answer pairs related to various SRS. Based on this dataset, we present a novel densely supervised fine-tuning (DSFT) on LLM, which performs entries-level optimization over the human augmented text, ensuring precise FPs outputs. Finally, we design a ConceptAct Promting (CAP) process for correct logical reasoning. Experiments demonstrate the superior performance of FPA-EX, particularly higher than GPT3.5 by 0.491 on F1 scores. Furthermore, in practical application, FPA-EX significantly enhances the productivity of FP analysts, contributing to a shift towards more intelligent work patterns. © 2024 Elsevier B.V., All rights reserved."
