"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Abualhaija S.; Ceci M.; Briand L.","Abualhaija, Sallam (55258471800); Ceci, Marcello (49861128400); Briand, Lionel (7006613079)","55258471800; 49861128400; 7006613079","Legal Requirements Analysis: A Regulatory Compliance Perspective","2025","Handbook on Natural Language Processing for Requirements Engineering","","","","209","242","1","10.1007/978-3-031-73143-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004623360&doi=10.1007%2F978-3-031-73143-3_8&partnerID=40&md5=474c2060233084ccde4fa1bfd4df4008","Modern software has been an integral part of everyday activities in many disciplines and application contexts. Introducing intelligent automation by leveraging artificial intelligence (AI) led to breakthroughs in many fields. The effectiveness of AI can be attributed to several factors, among which is the increasing availability of data. Regulations such as the General Data Protection Regulation (GDPR) in the European Union (EU) are introduced to ensure the protection of personal data. Software systems that collect, process or share personal data are subject to compliance with such regulations. Developing compliant software depends heavily on addressing legal requirements stipulated in applicable regulations, a central activity in the requirements engineering (RE) phase of the software development process. RE is concerned with specifying and maintaining requirements of a system-to-be, including legal requirements. Legal agreements which describe the policies organizations implement for processing personal data can provide an additional source to regulations for eliciting legal requirements. In this chapter, we explore a variety of methods for analysing legal requirements and exemplify them on GDPR. Specifically, we describe possible alternatives for creating machine-analysable representations from regulations, survey the existing automated means for enabling compliance verification against regulations and further reflect on the current challenges of legal requirements analysis. Analysing legal requirements is a core RE activity that relies to a large extent on natural language processing technologies. This chapter contributes with the necessary knowledge required for eliciting, representing and verifying legal requirements. © TheEditor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Artificial intelligence (ai); General data protection regulation (gdpr); Large language models (llms); Legal compliance; Machine learning (ml); Natural language processing (nlp); Question-answering (qa)","Book chapter","Final","","Scopus","2-s2.0-105004623360"
"Mazak-Huemer A.; Vierhauser M.; Groher I.","Mazak-Huemer, Alexandra (57219502927); Vierhauser, Michael (36661447400); Groher, Iris (17433896500)","57219502927; 36661447400; 17433896500","SustainScrum: integrating sustainability assessment in a tailored Scrum process for computing quantitative sustainability indicators","2025","Software and Systems Modeling","24","2","102107","385","410","2","10.1007/s10270-025-01266-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218816301&doi=10.1007%2Fs10270-025-01266-5&partnerID=40&md5=d1acc62191a1679d4e454cfd84989c47","In the wake of a rapidly growing global focus on sustainable practices, the year 2023 marked a significant regulatory milestone, with the enactment of the Corporate Sustainability Reporting Directive. This directive significantly expands the scope of sustainability reporting, encompassing a broader array of enterprises, including large-scale, and small- and medium-sized enterprises within the EU. This regulatory development has profound implications for the software industry, as these companies need to provide comprehensive sustainability reporting for their software products. However, the industry still lacks models, tools, and methodologies for quantitatively assessing sustainability indicators during an agile software development process. In this paper, we introduce SustainScrum, a customized Scrum process model that incorporates sustainability evaluations into the development lifecycle of software products. More precisely, SustainScrum integrates the assessment of sustainability aspects into the backlog, user story management, and development stages of the Scrum process. Its primary objective is to ensure that sustainability considerations are systematically captured, evaluated, and addressed throughout the development process. It integrates the computation of quantitative sustainability indicators thereby advancing the ability to address sustainability challenges within software engineering practices. We performed an initial validation, investigating the applicability of SustainScrum on an open-source, publicly available requirements data set for agile development. © The Author(s) 2025.","Agile development; Process model; Scrum; Sustainability","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85218816301"
"Xanthopoulou G.; Siavvas M.; Kalouptsoglou I.; Kehagias D.; Tzovaras D.","Xanthopoulou, Georgia (57218177696); Siavvas, Miltiadis (57194500913); Kalouptsoglou, Ilias (57219327969); Kehagias, Dionysios (7003972544); Tzovaras, Dimitrios (13105681700)","57218177696; 57194500913; 57219327969; 7003972544; 13105681700","Software Requirements Classification: From Bag-of-Words to Transformer","2025","Lecture Notes in Networks and Systems","1198 LNNS","","","370","380","3","10.1007/978-3-031-76459-2_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005932344&doi=10.1007%2F978-3-031-76459-2_35&partnerID=40&md5=74b961b277de00465855954615752ea9","Automated classification of software requirements is valuable for software engineering. Recently, Natural Language Processing (NLP) and Machine Learning (ML) techniques have been utilized as an alternative to manual classification of requirements. In this study, we conduct a thorough empirical evaluation of several NLP methods utilized for efficient classification of software requirements. We focus both on the binary classification between functional and non-functional requirements (NFRs), and on the multi-class classification of the NFRs into specific categories, such as security, performance, usability, etc. For this purpose, we collected and enriched a large dataset of labeled software requirements, paying particular emphasis on security-related requirements. A wide range of NLP-based models were constructed and compared, raging from simple ML models that utilize the Bag-of-Words (BoW) technique for text representation to the more advanced Large Language Models (LLMs) that emerged recently. The results of our analysis demonstrated the ability of all the examined NLP-based models to provide highly accurate requirements classification both at binary and in multi-class setting, with Transformer-based models demonstrating the best predictive performance, thus revealing the benefits of transfer learning. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Requirements Classification; Software Security; Transfer Learning; Transformers; Word Embeddings","Conference paper","Final","","Scopus","2-s2.0-105005932344"
"de Kinderen S.; Winter K.","de Kinderen, Sybren (24400536400); Winter, Karolin (57196347714)","24400536400; 57196347714","Towards Taming Large Language Models with Prompt Templates for Legal GRL Modeling","2024","Lecture Notes in Business Information Processing","511 LNBIP","","","213","228","8","10.1007/978-3-031-61007-3_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197138654&doi=10.1007%2F978-3-031-61007-3_17&partnerID=40&md5=9e0ca78e5fe965feea3662607d8b8d30","The Legal Goal-oriented Requirements Language (Legal GRL) is a promising conceptual modeling approach for supporting regulatory compliance analysis. Yet, despite early attempts at automation, such Legal GRL models are still manually created, being time consuming and error prone. Recent work has demonstrated how Large Language Models can support the creation of conceptual models. Although showing promise, the application scenarios for conceptual modeling are often limited to well structured, and scoped, scenarios. Dealing with practical, less controlled, regulatory analyses, whereby often a particular actor or topic needs to be pulled into focus, is an open issue. In this paper, we propose using prompt templates to structure the process of using LLMs to create a Legal GRL model from text. The core idea is that prompt templates are created from state of the art prompt patterns, which can restrict LLM output, can manage a LLM conversation context, and can structure a LLM conversation. We report on an initial assessment of prompt templates on multiple law articles from the healthcare and energy community domains. Our initial results are promising for Legal GRL modeling, but at the same time show that caution is warranted. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Goal Modeling; Large Language Models; Legal GRL; Prompt Templates; Requirements Engineering","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85197138654"
"Liu X.; Lu J.; Xu A.","Liu, Xinyan (60151923200); Lu, Jiaxin (60152341400); Xu, Ang (60152341500)","60151923200; 60152341400; 60152341500","Dynamic agenda-aware real-time meeting summarization with large language models","2025","Journal of King Saud University - Computer and Information Sciences","37","9","275","","","0","10.1007/s44443-025-00304-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019508139&doi=10.1007%2Fs44443-025-00304-y&partnerID=40&md5=2d2ca20505f3856a0e7f80edbdc667f4","Meeting summarization has become increasingly important with the rise of remote collaboration. However, existing approaches mostly generate summaries post hoc and struggle with the real-time and dynamic nature of multi-topic meetings. In this work, we define the task of dynamic agenda-aware real-time meeting summarization, which requires incrementally producing coherent summaries as a meeting progresses, guided by an evolving agenda. We identify key challenges: (1) long, multi-participant dialogues covering changing topics, (2) the need to update summaries with new information while minimizing redundancy, and (3) aligning summaries with agenda items that may shift during the meeting. To address these issues, we propose a novel summarization framework that integrates fine-tuned large language models (LLMs) with an explicit agenda tracking mechanism. Our method leverages a pre-trained LLM and incorporates the meeting agenda as contextual guidance, dynamically adjusting the focus of the summary as the discussion moves through agenda items. Experimental results on three public meeting datasets demonstrate that our approach achieves higher ROUGE-1, ROUGE-2, ROUGE-L, BERTScore, and METEOR scores than competitive methods. The proposed system generates high-quality real-time summaries, offering participants timely insights and agenda-aligned highlights throughout the meeting. These results signify a step towards more interactive and intelligent meeting assistants, and the techniques presented can be generalized to other streaming summarization scenarios. The contributions of this work open new directions for online and interactive summarization research, bridging the gap between offline summary generation and the practical need for live meeting minutes. © The Author(s) 2025.","Dynamic text summarization; Meeting summarization; Natural language generation; Natural language processing; Real-time summarization","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105019508139"
"Motger Q.; Miaschi A.; Dell’Orletta F.; Franch X.; Marco J.","Motger, Quim (57209540522); Miaschi, Alessio (57211678681); Dell’Orletta, Felice (57540567000); Franch, Xavier (6603081752); Marco, Jordi (8332219900)","57209540522; 57211678681; 57540567000; 6603081752; 8332219900","Leveraging encoder-only large language models for mobile app review feature extraction","2025","Empirical Software Engineering","30","3","104","","","3","10.1007/s10664-025-10660-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003228374&doi=10.1007%2Fs10664-025-10660-y&partnerID=40&md5=1430bc922c48c5156295182cf9b1c1dc","Mobile app review analysis presents unique challenges due to the low quality, subjective bias, and noisy content of user-generated documents. Extracting features from these reviews is essential for tasks such as feature prioritization and sentiment analysis, but it remains a challenging task. Meanwhile, encoder-only models based on the Transformer architecture have shown promising results for classification and information extraction tasks for multiple software engineering processes. This study explores the hypothesis that encoder-only large language models can enhance feature extraction from mobile app reviews. By leveraging crowdsourced annotations from an industrial context, we redefine feature extraction as a supervised token classification task. Our approach includes extending the pre-training of these models with a large corpus of user reviews to improve contextual understanding and employing instance selection techniques to optimize model fine-tuning. Empirical evaluations demonstrate that these methods improve the precision and recall of extracted features and enhance performance efficiency. Key contributions include a novel approach to feature extraction, annotated datasets, extended pre-trained models, and an instance selection mechanism for cost-effective fine-tuning. This research provides practical methods and empirical evidence in applying large language models to natural language processing tasks within mobile app reviews, offering improved performance in feature extraction. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Extended pre-training; Feature extraction; Instance selection; Large language models; Mobile app reviews; Named-entity recognition","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105003228374"
"Maestro Redondo P.; Garcia G.; Riccardi A.; Darm P.; Jiménez Eguizabal J.B.; Théate A.; Gerené S.; González Fernández A.; Kolfschoten G.","Maestro Redondo, Paloma (60170132700); Garcia, Gérald (55521612300); Riccardi, Annalisa (56040841100); Darm, Paul (57273356000); Jiménez Eguizabal, Jaime Bernar (60170819400); Théate, Antoine (60171260200); Gerené, Sam (41261282900); González Fernández, Alberto (59727738000); Kolfschoten, Gwendolyn (57195334988)","60170132700; 55521612300; 56040841100; 57273356000; 60170819400; 60171260200; 41261282900; 59727738000; 57195334988","Implementation of an AI-powered digital assistant to support space system engineering activities","2025","CEAS Space Journal","","","","","","0","10.1007/s12567-025-00670-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020779525&doi=10.1007%2Fs12567-025-00670-3&partnerID=40&md5=de46b0249fe2b40276ff276538fa7d63","This paper discusses innovative approaches to model-based systems engineering (MBSE) in the context of the space industry by presenting the results of a digital assistant that implements artificial intelligence to support the automation of systems engineering tasks. The design of complex engineering systems requires an exhaustive and continuous verification and validation process at each stage of the mission lifecycle. While at the early phases of a project the system design might not yet include a high level of detail, it is still necessary to ensure that it meets the mission requirements. Even if the design data are recorded using MBSE tools, these do not usually offer integrated verification capabilities to cross check the design against the requirements. This paper explores Natural Language Processing techniques to address advancements, limitations, and customization of MBSE approaches in space. The application scenarios are mainly focused on learning from past mission data to identify potential links between requirements and model artefacts, and to detect inconsistencies in the models also making use of Large Language Models. © The Author(s), under exclusive licence to Council of European Aerospace Societies 2025.","Digital assistant; MBSE; Natural language processing; Requirements","Article","Article in press","","Scopus","2-s2.0-105020779525"
"Siddeshwar V.; Alwidian S.; Makrehchi M.","Siddeshwar, Vaishali (59337959700); Alwidian, Sanaa (56893725700); Makrehchi, Masoud (6506351437)","59337959700; 56893725700; 6506351437","Goal Model Extraction from User Stories Using Large Language Models","2024","Communications in Computer and Information Science","2178 CCIS","","","269","276","5","10.1007/978-3-031-70245-7_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204569883&doi=10.1007%2F978-3-031-70245-7_19&partnerID=40&md5=006111cdef34369c543d38343dc5b7f0","In agile software development, goal modeling is vital for understanding the relationships among user stories, commonly used to capture stakeholders’ needs. Manual construction of goal models faces challenges, such as transforming lower-level user stories into higher-level models and capturing implicit goals. This paper presents early research proposing a technique using Large Language Models (LLMs), like GPT-4, to automatically generate goal models from user stories. The approach employs Iterative Prompt Engineering to guide the LLM in extracting intentional elements and generating XML representations using the Goal-oriented Requirements Language (GRL), visualized with the jUCMNav tool. Our primitive qualitative evaluation indicates that GPT-4 can produce GRL models that are acceptable and understandable. Despite the generic nature of LLM-generated models, there is a potential for their use in requirements modeling, particularly in exposing soft goals not immediately apparent to stakeholders new to the domain. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Goal Modeling; Goal-oriented Requirement Language (GRL); GPT-4; Large Language Models (LLMs); Requirements engineering; User story","Conference paper","Final","","Scopus","2-s2.0-85204569883"
"Storey V.C.; Yue W.T.; Zhao J.L.; Lukyanenko R.","Storey, Veda C. (7003462863); Yue, Wei Thoo (8925768600); Zhao, J. Leon (35304354800); Lukyanenko, Roman (37007689800)","7003462863; 8925768600; 35304354800; 37007689800","Generative Artificial Intelligence: Evolving Technology, Growing Societal Impact, and Opportunities for Information Systems Research","2025","Information Systems Frontiers","27","5","","2081","2102","39","10.1007/s10796-025-10581-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218867738&doi=10.1007%2Fs10796-025-10581-7&partnerID=40&md5=a749c6f69ce9ca49918c91ad2de2b7f5","The continuing, explosive developments in generative artificial intelligence (GenAI), built on large language models and related algorithms, has led to much excitement and speculation about the potential impact of this new technology. Claims include artificial intelligence (AI) being poised to revolutionize business and society and dramatically change personal life. However, it is not clear how this technology, with its significantly distinct features from past AI technologies, has transformative potential or how researchers in information systems should react to it. In this paper, we consider the evolving and emerging trends of AI in order to examine its present and predict its future impacts. Many existing papers on GenAI are either too technical for most information systems researchers or lack the depth needed to appreciate the potential impacts of GenAI. We, therefore, attempt to bridge the technical and organizational communities of GenAI from a system-oriented sociotechnical perspective. Specifically, we explore the unique features of GenAI, which are rooted in the continued change from symbolism to connectionism, and the deep systemic and inherent properties of human-AI ecosystems. We retrace the evolution of AI that proceeded the level of adoption, adaption, and use found today, in order to propose future research on various impacts of GenAI in both business and society within the context of information systems research. Our efforts are intended to contribute to the creation of a well-structured research agenda in the information systems community to support innovative strategies and operations enabled by this new wave of AI. © The Author(s) 2025.","Artificial Intelligence (AI); Connectionism; Framework for Generative AI as a Sociotechnical System; Generative AI (GenAI); Information Systems; Large Language Models (LLM); Societal impact","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85218867738"
"Popescu D.; Dragomir D.; Popișter F.; Dragomir M.","Popescu, Daniela (24829530000); Dragomir, Diana (55513591500); Popișter, Florin (55336425200); Dragomir, Mihai (24829415200)","24829530000; 55513591500; 55336425200; 24829415200","AI Alignment to Enhance Production Processes Performance and Resilience","2025","Lecture Notes in Production Engineering","Part F566","","","687","695","0","10.1007/978-3-031-77723-3_62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009216547&doi=10.1007%2F978-3-031-77723-3_62&partnerID=40&md5=2c189009833fd92e2f76609ce9bf6f24","In the past years, artificial intelligence has been the subject of much discussion and debate, both in the academic world and in popular culture. Going from seeing AI as a competitor for humans and potential existential threat, it is now time to discover the useful applications of AI in world of practical applications, which in the current case focuses on production processes and systems. The current paper uses a qualitative approach to discover and assess the possibilities of customizing AI through the process known as “alignment” into a concrete tool that can be used by engineers and managers confronted with the everyday challenges of the manufacturing industry. Based on expert surveys and requirements engineering tools, the benefits and pitfalls of this approach are analyzed, and conclusions are drawn regarding implementation scenarios from the perspectives of technical, economic and social criteria, which can be used as guidelines for future development. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AI alignment; Production engineering; Production management; Production processes","Book chapter","Final","","Scopus","2-s2.0-105009216547"
"Zhang B.; Carriero V.A.; Schreiberhuber K.; Tsaneva S.; González L.S.; Kim J.; de Berardinis J.","Zhang, Bohui (58590416200); Carriero, Valentina Anita (57209285894); Schreiberhuber, Katrin (58528976300); Tsaneva, Stefani (57940278400); González, Lucía Sánchez (58964287800); Kim, Jongmo (56763022700); de Berardinis, Jacopo (57200644028)","58590416200; 57209285894; 58528976300; 57940278400; 58964287800; 56763022700; 57200644028","OntoChat: A Framework for Conversational Ontology Engineering Using Language Models","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15344 LNCS","","","102","121","10","10.1007/978-3-031-78952-6_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218459527&doi=10.1007%2F978-3-031-78952-6_10&partnerID=40&md5=77776a3fa6293cb8bdfb5f1e88063c21","Ontology engineering (OE) in large projects poses a number of challenges arising from the heterogeneous backgrounds of the various stakeholders, domain experts, and their complex interactions with ontology designers. This multi-party interaction often creates systematic ambiguities and biases from the elicitation of ontology requirements, which directly affect the design, evaluation and may jeopardise the target reuse. Meanwhile, current OE methodologies strongly rely on manual activities (e.g., interviews, discussion pages). After collecting evidence on the most crucial OE activities, we introduce OntoChat, a framework for conversational ontology engineering that supports requirement elicitation, analysis, and testing. By interacting with a conversational agent, users can steer the creation of user stories and the extraction of competency questions, while receiving computational support to analyse the overall requirements and test early versions of the resulting ontologies. We evaluate OntoChat by replicating the engineering of the Music Meta Ontology, and collecting preliminary metrics on the effectiveness of each component from users. We release all code at https://github.com/King-s-Knowledge-Graph-Lab/OntoChat. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Competency Questions; Computational Creativity; Large Language Models; Ontology Engineering","Conference paper","Final","","Scopus","2-s2.0-85218459527"
"Ramírez-Rueda R.; Benítez-Guerrero E.; Mezura-Godoy C.; Bárcenas E.","Ramírez-Rueda, Rolando (57208923504); Benítez-Guerrero, Edgard (15755550600); Mezura-Godoy, Carmen (22735015300); Bárcenas, Everardo (35182396600)","57208923504; 15755550600; 22735015300; 35182396600","A Systematic Literature Review of 10 years of Research on Program Synthesis and Natural Language Processing","2024","Programming and Computer Software","50","8","","725","741","1","10.1134/S0361768824700737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217757667&doi=10.1134%2FS0361768824700737&partnerID=40&md5=a56ea48d739fc4a8f4239b3937a9e505","Abstract: Program synthesis is the process of automatically generating software from a requirement specification. This paper presents a systematic literature review focused on program synthesis from specifications expressed in natural language. The research problem centers on the complexity of automatically generating accurate and robust code from high-level, ambiguous natural language descriptions – a barrier that limits the broader adoption of automatic code generation in software development. To address this issue, the study systematically examines research published between 2014 and 2024, focusing on works that explore various approaches to program synthesis from natural language inputs. The review follows a rigorous methodology, incorporating search strings tailored to capture relevant studies from five major data sources: IEEE, ACM, Springer, Elsevier, and MDPI. The selection process applied strict inclusion and exclusion criteria, resulting in a final set of 20 high-quality studies. The findings reveal significant advancements in the field, particularly in the integration of large language models (LLMs) with program synthesis techniques. The review also highlights the challenges and concludes by outlining key trends and proposing future research directions aimed at overcoming these challenges and expanding the applicability of program synthesis across various domains. © Pleiades Publishing, Ltd. 2024.","","Article","Final","","Scopus","2-s2.0-85217757667"
"Severin B.; Werger O.; Hesenius M.","Severin, Benedikt (57219166809); Werger, Ole (59007842300); Hesenius, Marc (55249675400)","57219166809; 59007842300; 55249675400","Not What I was Trained for – Out-of-Distribution-Tests for Interactive AIs","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14517 LNCS","","","127","147","1","10.1007/978-3-031-59235-5_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201965094&doi=10.1007%2F978-3-031-59235-5_12&partnerID=40&md5=42624b39af810a30cc8a625dc35e0db2","Recent advances in AI demonstrate its capacities to not only automate more and more everyday tasks, but also make direct Human-AI-Interaction possible. When using AI models in production, we might face situations where the AI is confronted with input data that is very different from the data it was trained on. Such situations are called Out-of-Distribution situations and can result in misleading AI inferences. We argue that identification, handling, and prevention of Out-of-Distribution situations is key for creating production-ready interactive AI components. In this paper, we test the robustness of state-of-the-art AI/ML approaches in Out-of-Distribution situations and propose a research agenda to gather a deeper understanding of how to identify, handle, and prevent such situations in interactive applications. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Artificial Intelligence; Concept Shift; Human-Computer Interaction; Machine Learning; Out-of-Distribution; Quality Assurance; Software Engineering; Test Automation; Testing","Conference paper","Final","","Scopus","2-s2.0-85201965094"
"Dąbrowski J.; Bennaceur A.; Rajbahadur G.K.; Nuseibeh B.; Alrimawi F.","Dąbrowski, Jacek (56730131300); Bennaceur, Amel (34976278500); Rajbahadur, Gopi Krishnan (57195249851); Nuseibeh, Bashar (12644975200); Alrimawi, Faeq (57192232679)","56730131300; 34976278500; 57195249851; 12644975200; 57192232679","Prompt Me: Intelligent Software Agent for Requirements Engineering - A Vision Paper","2025","Lecture Notes in Computer Science","15588 LNCS","","","235","243","1","10.1007/978-3-031-88531-0_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002718442&doi=10.1007%2F978-3-031-88531-0_17&partnerID=40&md5=11a750d9ac36bdc1696a404b5d1760bf","[Context and Motivation] Software engineers can interact with users through digital channels (e.g., online forums) to exchange information about software products and achieve their requirements engineering (RE) goals. However, conducting RE manually is challenging due to the large number of users and the volume of their online feedback. [Question/Problem] Previous work has proposed tools to automatically extract useful information from online feedback (e.g., feature requests); however, these tools suffer from three major limitations: (i) an overlooked RE perspective in their design and evaluation; (ii) insufficient functional and performance capabilities; and (iii) missing evaluations of their ability to address RE needs. [Principal Idea/Results] This paper presents a vision for an intelligent RE software agent designed to overcome these limitations. Specifically, our vision explores how RE can guide the design and evaluation of software agents powered by large language models (LLMs), proposes empirical assessments of LLMs for RE usage and the agent’s ability to meet RE needs. [Contributions] Our contribution is threefold: (i) a vision for an RE agent, (ii) identification of key challenges, and (iii) a roadmap to address current limitations.  © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AI4RE; Artificial Intelligence; Bot; GenAI; Large Language Model; RE4AI; Requirements Engineering; Software Agent","Conference paper","Final","","Scopus","2-s2.0-105002718442"
"Sarkar A.","Sarkar, Aritra (57217587885)","57217587885","Automated quantum software engineering","2024","Automated Software Engineering","31","1","36","","","8","10.1007/s10515-024-00436-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190257316&doi=10.1007%2Fs10515-024-00436-x&partnerID=40&md5=2927b9fbbe0c48c671016ac30c9210b4","As bigger quantum processors with hundreds of qubits become increasingly available, the potential for quantum computing to solve problems intractable for classical computers is becoming more tangible. Designing efficient quantum algorithms and software in tandem is key to achieving quantum advantage. Quantum software engineering is challenging due to the unique counterintuitive nature of quantum logic. Moreover, with larger quantum systems, traditional programming using quantum assembly language and qubit-level reasoning is becoming infeasible. Automated Quantum Software Engineering (AQSE) can help to reduce the barrier to entry, speed up development, reduce errors, and improve the efficiency of quantum software. This article elucidates the motivation to research AQSE (why), a precise description of such a framework (what), and reflections on components that are required for implementing it (how). © The Author(s) 2024.","Program synthesis; Quantum algorithms; Software automation","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190257316"
"Peschanenko V.; Poltorackiy M.; Konnova O.","Peschanenko, Volodymyr (36190302600); Poltorackiy, Maksym (56436805400); Konnova, Olga (60004387300)","36190302600; 56436805400; 60004387300","Verification of Smart Contract Code Generated by Applying Artificial Intelligence","2025","Communications in Computer and Information Science","2359 CCIS","","","3","19","2","10.1007/978-3-031-81372-6_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011043841&doi=10.1007%2F978-3-031-81372-6_1&partnerID=40&md5=0ec61caf2b3e1a6d925d4648e0cc3382","In this article, we describe the process of generating smart contract code using AI-driven tools and its subsequent verification via the insertion modeling system. Initially, we outline the process of defining and specifying smart contract requirements, the creation of acceptance criteria in the Gherkin language. Next, we generated the smart contract code in the Solidity language based on delineated requirements using AI. The contract‘s purpose is to manage the token unlocking processes for decentralized platform investors. We describe the process of translating the smart contract code into the algebraic specifications of the IMS system through ANTLR grammar. To ensure the functional correctness of smart contract operations, we formalized the acceptance criteria described in the goal state syntax and checked whether the smart contract code reaches the goal state defined in the requirements specification. The study shows how these techniques can improve the quality and reliability of smart contracts in distributed systems. The described approach allows us to check the correctness of the smart contract’s functioning logic and its compliance with the given specifications. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","ANTRL; Artificial Intelligence; Blockchain; Insertion Modeling System; Smart Contracts; Solidity","Conference paper","Final","","Scopus","2-s2.0-105011043841"
"Ronanki K.; Cabrero-Daniel B.; Berger C.","Ronanki, Krishna (58483395600); Cabrero-Daniel, Beatriz (57219337738); Berger, Christian (16067915300)","58483395600; 57219337738; 16067915300","ChatGPT as a Tool for User Story Quality Evaluation: Trustworthy Out of the Box?","2024","Lecture Notes in Business Information Processing","489 LNBIP","","","173","181","21","10.1007/978-3-031-48550-3_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181984259&doi=10.1007%2F978-3-031-48550-3_17&partnerID=40&md5=cca263199a95d98ec773acc964dba9b9","In Agile software development, user stories play a vital role in capturing and conveying end-user needs, prioritizing features, and facilitating communication and collaboration within development teams. However, automated methods for evaluating user stories require training in NLP tools and can be time-consuming to develop and integrate. This study explores using ChatGPT for user story quality evaluation and compares its performance with an existing benchmark. Our study shows that ChatGPT’s evaluation aligns well with human evaluation, and we propose a “best of three” strategy to improve its output stability. We also discuss the concept of trustworthiness in AI and its implications for non-experts using ChatGPT’s unprocessed outputs. Our research contributes to understanding the reliability and applicability of Generative AI in user story evaluation and offers recommendations for future research. © 2024, The Author(s).","Agile; ChatGPT; Quality; User Stories","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85181984259"
"Díaz-Pace J.A.; Tommasel A.; Capilla R.","Díaz-Pace, J. Andrés (14017872900); Tommasel, Antonela (56341290400); Capilla, Rafael (8931696900)","14017872900; 56341290400; 8931696900","Helping Novice Architects to Make Quality Design Decisions Using an LLM-Based Assistant","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14889 LNCS","","","324","332","11","10.1007/978-3-031-70797-1_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203581271&doi=10.1007%2F978-3-031-70797-1_21&partnerID=40&md5=601de9552e13ef900035f18620b98de4","Architectural knowledge and specifically design decisions have become first-class entities to be captured routinely in a design process. However, the quality of the decisions captured is often low. Part of the problem is that reflections intended to criticize, and thus improve, the decisions are seldom made in architecture teams, particularly when involving novice architects. To improve reflective practices and capture better decisions, we propose an design assistant approach based on generative AI techniques. Our assistant, called ArchMind, relies on two information sources: architectural knowledge about patterns, and information about the system under design. Furthermore, the assistant takes advantage of LLMs to progressively aid users in selecting and assessing alternative decisions, until capturing them using an Architecture Decision Record format. ArchMind mainly targets novice architects as discussed in an initial experiment using the assistant off-line for a classroom project. The generated ADRs were concrete and well-justified in their design rationale, although they tended to miss system-specific details. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Architectural knowledge; Architecture Decision Records; Assistant; Design decisions; Large Language Models; Reflection","Conference paper","Final","","Scopus","2-s2.0-85203581271"
