Authors,Title,Year,Source title,Cited by,DOI,Abstract
Mehraj A.; Zhang Z.; Systä K.,A Tertiary Study on AI for Requirements Engineering,2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11,10.1007/978-3-031-57327-9_10,"Context and Motivation: Rapid advancements in Artificial Intelligence (AI) have significantly influenced requirements engineering (RE) practices. Problem: While many recent secondary studies have explored AI’s role in RE, a thorough understanding of the use of AI for RE (AI4RE) and its inherent challenges remains in its early stages.Principal Ideas: To fill this knowledge gap, we conducted a tertiary review on understanding how AI assists RE practices. Contribution: We analyzed 28 secondary studies from 2017 to September 2023 about using AI in RE tasks such as elicitation, classification, analysis, specification, management, and tracing. Our study reveals a trend of combining natural language process techniques with machine learning models like Latent Dirichlet Allocation (LDA) and Naive Bayes, and a surge in using large language models (LLMs) for RE. The study also identified challenges of AI4RE related to ambiguity, language, data, algorithm, and evaluation. The study gives topics for future research, particularly for researchers who want to start new research in this field. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
Bazzan T.; Olojo B.; Majda P.; Kelly T.; Yilmaz M.; Marks G.; Clarke P.M.,Analysing the Role of Generative AI in Software Engineering - Results from an MLR,2024,Communications in Computer and Information Science,2,10.1007/978-3-031-71139-8_11," Generative Artificial Intelligence (GenAI) has become a practical tool that exhibits the potential to revolutionize numerous industries through publicly available systems with simple yet effective interfaces. This paper outlines the findings of research conducted in a multivocal literature review (MLR) with the aim of exploring the impact of GenAI in software engineering, with a focus on the fundamental aspects, use cases, benefits, and risks associated with contemporary GenAI models leveraged in key industries and practices. Key findings indicate that GenAI is adopted in software engineering, with various reported benefits in areas including requirement engineering, estimation and testing. However, there are also some risks associated with GenAI-based Software Engineering, such as in the context of generated data consistency and accuracy (sometimes referred to as the Hallucination problem), plagiarism, bias, and security. GenAI-assisted software engineering is becoming more mainstream, but resolving all the associated issues is going to take some time. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
Li Y.; Keung J.; Yang Z.; Ma X.; Zhang J.; Liu S.,SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,2024,Automated Software Engineering,9,10.1007/s10515-024-00448-7,"In agile requirements engineering, Generating Acceptance Criteria (GAC) to elaborate user stories plays a pivotal role in the sprint planning phase, which provides a reference for delivering functional solutions. GAC requires extensive collaboration and human involvement. However, the lack of labeled datasets tailored for User Story attached with Acceptance Criteria (US-AC) poses significant challenges for supervised learning techniques attempting to automate this process. Recent advancements in Large Language Models (LLMs) have showcased their remarkable text-generation capabilities, bypassing the need for supervised fine-tuning. Consequently, LLMs offer the potential to overcome the above challenge. Motivated by this, we propose SimAC, a framework leveraging LLMs to simulate agile collaboration, with three distinct role groups: requirement analyst, quality analyst, and others. Initiated by role-based prompts, LLMs act in these roles sequentially, following a create-update-update paradigm in GAC. Owing to the unavailability of ground truths, we invited practitioners to build a gold standard serving as a benchmark to evaluate the completeness and validity of auto-generated US-AC against human-crafted ones. Additionally, we invited eight experienced agile practitioners to evaluate the quality of US-AC using the INVEST framework. The results demonstrate consistent improvements across all tested LLMs, including the LLaMA and GPT-3.5 series. Notably, SimAC significantly enhances the ability of gpt-3.5-turbo in GAC, achieving improvements of 29.48% in completeness and 15.56% in validity, along with the highest INVEST satisfaction score of 3.21/4. Furthermore, this study also provides case studies to illustrate SimAC’s effectiveness and limitations, shedding light on the potential of LLMs in automated agile requirements engineering. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024."
Biswas C.; Das S.,ARIA-QA: AI-agent based requirements inspection and analysis through question answering,2025,Innovations in Systems and Software Engineering,2,10.1007/s11334-024-00589-8,"Due to their predominant use of natural language, requirements are prone to defects like inconsistency and incompleteness. Consequently, quality assurance processes are commonly applied to requirements manually. However, manual execution of these processes can be laborious and may inadvertently overlook critical quality issues due to time and budget constraints. This paper introduces ARIA, an innovative question–answering (QA) approach designed to automate support for stakeholders, including requirements engineers, during the analysis of NL requirements. The ability to ask questions and get immediate answers is extremely useful in many quality assurance situations, especially for incompleteness detection. The challenge of automating the answering of requirements-related questions is considerable, given the potential scope of the search for answers extending beyond the provided requirements specification. To overcome this challenge, ARIA integrates support for mining external domain knowledge resources like internet search results. Evaluation of seven diverse use cases drawn from the PURE dataset demonstrates ARIA’s robustness and applicability across a range of real-life scenarios, highlighting its potential to significantly improve the quality and effectiveness of requirements analysis processes. This work represents one of the initial endeavors to seamlessly blend QA and external domain knowledge, effectively addressing complexities in requirements engineering through a flexible framework designed to readily integrate with evolving, advanced-level Generative LLMs. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024."
Luitel D.; Hassani S.; Sabetzadeh M.,Improving requirements completeness: automated assistance through large language models,2024,Requirements Engineering,31,10.1007/s00766-024-00416-3,"Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores this question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask, striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions. Our second contribution involves designing a machine learning-based filter to post-process BERT’s predictions and further reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings indicate that: (1) BERT’s predictions effectively highlight terminology that is missing from requirements, (2) BERT outperforms simpler baselines in identifying relevant yet missing terminology, and (3) our filter reduces noise in the predictions, enhancing BERT’s effectiveness for completeness checking of requirements. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024."
Westhoven M.; Herrmann T.,Scenarios and Requirements for Supporting Workplace Risk Assessment with Artificial Intelligence,2025,Lecture Notes in Computer Science,0,10.1007/978-3-031-93418-6_23,"This work’s aim is to take a look at scenarios and requirements for applying artificial intelligence as a company-side tool for occupational safety. The target domain to be focused is the internal safety or risk management respectively. The characteristic data is complex and heterogeneous, which can be hard to analyze regarding their inter-correlations and which in part consist of rare events, such as accidents. Artificial Intelligence and especially Large Language Models provide new approaches to this data problem and to also analyze and model hitherto unknown correlations and to identify corresponding risks. As a safety critical application, the support of risk assessments with artificial intelligence must be grounded in practically relevant scenarios and thoroughly elicited and refined requirements. In this work, we report on the findings from fifteen expert interviews for requirements elicitation and from three scenario workshops. We integrate requirements and scenarios to take a step towards building test scenarios, with which developers can check if they are on target with their systems. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
El-Hajjami A.; Salinesi C.,Synthline: A Product Line Approach for Synthetic Requirements Engineering Data Generation Using Large Language Models,2025,Lecture Notes in Business Information Processing,1,10.1007/978-3-031-92474-3_13,"While modern Requirements Engineering (RE) heavily relies on natural language processing and Machine Learning (ML) techniques, their effectiveness is limited by the scarcity of high-quality datasets. This paper introduces Synthline, a Product Line (PL) approach that leverages Large Language Models to systematically generate synthetic RE data for classification-based use cases. Through an empirical evaluation conducted in the context of using ML for the identification of requirements specification defects, we investigated both the diversity of the generated data and its utility for training downstream models. Our analysis reveals that while synthetic datasets exhibit less diversity than real data, they are good enough to serve as viable training resources. Moreover, our evaluation shows that combining synthetic and real data leads to substantial performance improvements. Specifically, hybrid approaches achieve up to 85% improvement in precision and a 2× increase in recall compared to models trained exclusively on real data. These findings demonstrate the potential of PL-based synthetic data generation to address data scarcity in RE. We make both our implementation and generated datasets publicly available to support reproducibility and advancement in the field. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Zhang J.; Niu N.,Automated Requirements Terminology Extraction,2025,Handbook on Natural Language Processing for Requirements Engineering,0,10.1007/978-3-031-73143-3_6,"Requirements terms play a significant role in supporting requirements analysis and modeling. Automated term extraction methods help improve the efficiency and effectiveness of domain requirements engineering. In this chapter, we present an overview of definitions and typical application scenarios of requirements terms, followed by a detailed explanation of different types of automated terminology extraction methods, especially for the identification of multi-word terms. We further provide an aggregated list of terminology extraction resources for theoretical research and practical application. The chapter concludes by summarizing the advantages and limitations of current methods to shed light on future research directions. For each terminology extraction method introduced, we include code examples implemented in Python, and we illustrate the use of the popular large language model ChatGPT for automatic requirements terms extraction, with all codes and experimental data made publicly available on GitHub (https://github.com/zhangjianzhang/req_term_extract). This chapter serves as a comprehensive guide to automated requirements terminology extraction, essential for advancing the efficiency of domain requirements engineering. © TheEditor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Aishwarya C.; Shekokar T.P.; Naga Mukesh K.; Venkatesan M.; Prabhavathy P.,Grapevine SDLC Model for Real-Time Fake News Classification,2025,Communications in Computer and Information Science,0,10.1007/978-3-031-83796-8_15,"In an era of rapid information distribution, the presence of fake news presents enormous difficulties to society, influencing public opinion and decision-making on a global scale. To address this issue, a reliable and efficient system capable of detecting and classifying fake news in real time must be developed. This project proposes the design and implementation of a specialized Software Development Life Cycle (SDLC) model, called the Grapevine SDLC, specifically designed for developing a real-time fake news classifier using Large Language Models (LLMs) and Apache Kafka. The Grapevine SDLC takes a methodical, iterative approach, starting with a thorough requirements analysis that identifies both system capabilities and limitations. During the design and development phase, the system architecture is crafted with a focus on scalability and real-time processing, integrating LLMs for highly accurate content analysis and categorization. Kafka’s distributed messaging platform ensures seamless and efficient data streaming, enabling the system to handle large volumes of data in real time. Further, the model includes continuous monitoring and feedback loops to improve detection accuracy and adapt to evolving fake news patterns.  © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Halili S.; Kung K.; Spoletini P.; Grubb A.M.,Towards Connecting Requirements with Developer Artifacts in a Local Context,2025,Lecture Notes in Computer Science,0,10.1007/978-3-031-88531-0_28,"[Context and Motivation] To ensure that software is developed as intended, it is important to connect the completion of software development activities with the requirements that they support; yet, establishing traceability links is a costly task. [Problem] Recent work has suggested the use of machine learning and large language models (LLMs) for many software engineering tasks, including traceability. However, there are insufficient publicly available datasets with links between requirements and development artifacts to effectively train third-party LLMs, and uploading proprietary data to be processed by external LLMs may be infeasible due to privacy concerns. [Principal Idea] To address these challenges, we propose a privacy-preserving pipelined approach combining clustering and triplet loss learning (TLL) to create artifact-to-requirements traceability links. Our clustering method efficiently identifies training examples for TLL, enabling local trace computation with minimal training data. [Contribution] In this research preview, we present our pipelined approach with an initial proof of concept and analyze the use of our clustering strategy. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Zhao M.; Tao R.; Huang Y.; Shi J.; Qin S.; Yang Y.,NL2CTL: Automatic Generation of Formal Requirements Specifications via Large Language Models,2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ,4,10.1007/978-981-96-0617-7_1,"Reducing the gap between natural language requirements and precise formal specifications is a critical task in requirements engineering. In recent years, requirement engineering is becoming increasingly complex alongside the growing intricacy of system engineering. Most requirements are expressed in natural language, which can be incomplete and ambiguous. However, formal languages with strict semantics can accurately represent certain temporal logic properties and allow for automated verification and analysis. This often limits the application of verification techniques, as writing formal specifications is a manual, error-prone, and time-consuming task. To address this, this paper proposes a framework that leverages Large Language Models (LLMs) to achieve automated conversion of natural language requirements to Computation Tree Logic (CTL). To address the issue of dataset scarcity, we leveraged the interactive and generative capabilities of LLMs. By constructing a random generation algorithm and utilizing prompt engineering, we generated an NL-CTL dataset using LLMs. The generated dataset was then used to fine-tune the T5-Large model, enhancing its generative capacity. To improve generalization, this paper proposes the use of the GPT-3.5 Atomic Proposition (AP) Recognition method, which eliminates the constraints of using the framework across different domains. A series of experimental evaluations showed that the fine-tuned LLM achieved an accuracy of 46.4%, whereas the LLM with few-shot learning using only prompt engineering achieved only 2% accuracy, demonstrating the feasibility of this approach.  © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024."
