Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Legal Requirements Analysis: A Regulatory Compliance Perspective,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_8,Sallam AbualhaijaMarcello CeciLionel Briand,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_8,Chapter
A novel automated framework for fine-grained sentiment analysis of application reviews using deep neural networks,Automated Software Engineering,,,,10.1007/s10515-024-00444-x,Haochen ZouYongli Wang,2024,https://link.springer.com/article/10.1007/s10515-024-00444-x,Article
AutoReqGen: A Pipeline Approach for Automated Requirements Generation from Source Code,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-95-0011-6_37,Ruoyu XuGaoxiang LiVictor S. Sheng,2025,https://link.springer.com/chapter/10.1007/978-981-95-0011-6_37,Conference paper
Large Language Model Based Intelligent Interaction for Digital Human,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-97-5678-0_18,Xiaoying MaYuya PengYingxue ZhangZhanjun Si,2024,https://link.springer.com/chapter/10.1007/978-981-97-5678-0_18,Conference paper
Requirements Elicitation Workshops Using the&#xa0;Six Thinking Hats Creativity Technique,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_23,Şevval Mehder KonanFatma Başak AydemirAtay Özgövde,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_23,Conference paper
AI-Based Requirements Analysis Assistant that Applies Explicit Knowledge and Includes Humans in the Loop,Advanced Information Systems Engineering,,,,10.1007/978-3-031-94569-4_2,Steven Alter,2025,https://link.springer.com/chapter/10.1007/978-3-031-94569-4_2,Conference paper
Trustworthy and Responsible LLM,Handbook of Human-Centered Artificial Intelligence,,,,10.1007/978-981-97-8440-0_51-1,Blessing Ogbuokiri,2025,https://link.springer.com/rwe/10.1007/978-981-97-8440-0_51-1,Living reference work entry
"Large language models for software vulnerability detection: a guide for researchers on models, methods, techniques, datasets, and metrics",International Journal of Information Security,,,,10.1007/s10207-025-00992-7,Seyed Mohammad Taghavi FarFarid Feyzi,2025,https://link.springer.com/article/10.1007/s10207-025-00992-7,Article
Large language models empowered agent-based modeling and simulation: a survey and perspectives,Humanities and Social Sciences Communications,,,,10.1057/s41599-024-03611-3,Chen GaoXiaochong LanNian LiYuan YuanJingtao DingZhilun ZhouFengli XuYong Li,2024,https://link.springer.com/article/10.1057/s41599-024-03611-3,Article
Large Language Model Based Agents for&#xa0;Generating Industrial Dashboards,Production at the Leading Edge of Technology,,,,10.1007/978-3-031-86893-1_57,Robin KimmelJerome PfeifferJingxi ZhangAndreas Wortmann,2025,https://link.springer.com/chapter/10.1007/978-3-031-86893-1_57,Conference paper
DOSAGE: Dataset for Optimized Safe Antibiotic Guidelines and Estimates,Scientific Data,,,,10.1038/s41597-025-05761-8,Ferdous Wahid AnikMarzia ZamanTahmina FoyezKhondaker A. Mamun,2025,https://link.springer.com/article/10.1038/s41597-025-05761-8,Article
Enabling Responsible LLM-Based Grading in&#xa0;Higher Education – Design Guidelines and&#xa0;a&#xa0;Reproducible Data Preparation Pipeline,Local Solutions for Global Challenges,,,,10.1007/978-3-031-93979-2_1,Arnold F. Arz von StraussenburgAnna WoltersTimon T. AldenhoffDennis M. Riehle,2025,https://link.springer.com/chapter/10.1007/978-3-031-93979-2_1,Conference paper
Exploring modeling methods for information systems analysis and design: a data-driven retrospective,Software and Systems Modeling,,,,10.1007/s10270-025-01302-4,Iris Reinhartz-BergerAdir SolomonJelena ZdravkovicJohn KrogstieHenderik A. Proper,2025,https://link.springer.com/article/10.1007/s10270-025-01302-4,Article
TTool-AI: A Large Language Model-Based Assistant for Model Driven Engineering,SN Computer Science,,,,10.1007/s42979-025-04444-w,Bastien SultanLudovic Apvrille,2025,https://link.springer.com/article/10.1007/s42979-025-04444-w,Article
Establishing Traceability Between Natural Language Requirements and&#xa0;Software Artifacts by&#xa0;Combining RAG and&#xa0;LLMs,Conceptual Modeling,,,,10.1007/978-3-031-75872-0_16,Syed Juned AliVarun NaganathanDominik Bork,2025,https://link.springer.com/chapter/10.1007/978-3-031-75872-0_16,Conference paper
ReqRAG: Enhancing Software Release Management through Retrieval-Augmented LLMs: An Industrial Study,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_20,Md Saleh IbtashamSarmad BashirMuhammad AbbasZulqarnain HaiderMehrdad SaadatmandAntonio Cicchetti,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_20,Conference paper
Dynamic agenda-aware real-time meeting summarization with large language models,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00304-y,Xinyan LiuJiaxin LuAng Xu,2025,https://link.springer.com/article/10.1007/s44443-025-00304-y,Article
OntoChat: A&#xa0;Framework for&#xa0;Conversational Ontology Engineering Using Language Models,The Semantic Web: ESWC 2024 Satellite Events,,,,10.1007/978-3-031-78952-6_10,Bohui ZhangValentina Anita CarrieroKatrin SchreiberhuberStefani TsanevaLucía Sánchez GonzálezJongmo KimJacopo de Berardinis,2025,https://link.springer.com/chapter/10.1007/978-3-031-78952-6_10,Conference paper
"Deep learning-based software engineering: progress, challenges, and opportunities",Science China Information Sciences,,,,10.1007/s11432-023-4127-5,Xiangping ChenXing HuYuan HuangHe JiangWeixing JiYanjie JiangYanyan JiangBo LiuHui LiuXiaochen LiXiaoli LianGuozhu MengXin PengHailong SunLin ShiBo WangChong WangJiayi WangTiantian WangJifeng XuanXin XiaYibiao YangYixin YangLi ZhangYuming ZhouLu Zhang,2024,https://link.springer.com/article/10.1007/s11432-023-4127-5,Article
Towards Conversational Requirements Engineering: Detecting Defects in&#xa0;Requirements Using Large Language Models,"Service Oriented, Holonic and Multi-agent Manufacturing Systems for Industry of the Future",,,,10.1007/978-3-031-85316-6_2,Jakob GüttingerJan-Niclas FengerThomas KirchmeierChristoph Legat,2025,https://link.springer.com/chapter/10.1007/978-3-031-85316-6_2,Conference paper
Designing a Large Language Model-Based Coaching Intervention for Lifestyle Behavior Change,Design Science Research for a Resilient Future,,,,10.1007/978-3-031-61175-9_6,Sophia Meywirth,2024,https://link.springer.com/chapter/10.1007/978-3-031-61175-9_6,Conference paper
A RAG Approach for&#xa0;Generating Competency Questions in&#xa0;Ontology Engineering,Metadata and Semantic Research,,,,10.1007/978-3-031-81974-2_6,Xueli PanJacco van OssenbruggenVictor de BoerZhisheng Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-81974-2_6,Conference paper
Towards Connecting Requirements with&#xa0;Developer Artifacts in&#xa0;a&#xa0;Local Context,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_28,Sonora HaliliKarenna KungPaola SpoletiniAlicia M. Grubb,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_28,Conference paper
A Three-level Framework for LLM-enhanced Explainable AI: From Technical Explanations to Natural Language,Information Systems Frontiers,,,,10.1007/s10796-025-10668-1,Marilyn BelloRafael BelloMaría-Matilde GarcíaAnn NowéIván Sevillano-GarcíaFrancisco Herrera,2025,https://link.springer.com/article/10.1007/s10796-025-10668-1,Article
Goal Model Extraction from&#xa0;User Stories Using Large Language Models,Quality of Information and Communications Technology,,,,10.1007/978-3-031-70245-7_19,Vaishali SiddeshwarSanaa AlwidianMasoud Makrehchi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70245-7_19,Conference paper
Empirical evaluation of taxonomic trace links: a case study,Empirical Software Engineering,,,,10.1007/s10664-025-10764-5,Waleed AbdeenMichael UnterkalmsteinerPeter LöwenadlerParisa YousefiKrzysztof Wnuk,2025,https://link.springer.com/article/10.1007/s10664-025-10764-5,Article
Improving requirements completeness: automated assistance through large language models,Requirements Engineering,,,,10.1007/s00766-024-00416-3,Dipeeka LuitelShabnam HassaniMehrdad Sabetzadeh,2024,https://link.springer.com/article/10.1007/s00766-024-00416-3,Article
Accessibility rank: a machine learning approach for prioritizing accessibility user feedback,Empirical Software Engineering,,,,10.1007/s10664-025-10677-3,Xiaoqi ChaiJames TizardKelly Blincoe,2025,https://link.springer.com/article/10.1007/s10664-025-10677-3,Article
Requirements Engineering for Cyber-Physical Products,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-42307-9_23,Thomas FehlmannEberhard Kranich,2023,https://link.springer.com/chapter/10.1007/978-3-031-42307-9_23,Conference paper
Enhancing software and learning with Serbian student feedback corpora,Language Resources and Evaluation,,,,10.1007/s10579-025-09855-y,Dragan VidakovićNikola LuburićAleksandar KovačevićJelena Slivka,2025,https://link.springer.com/article/10.1007/s10579-025-09855-y,Article
Toward Safer and&#xa0;Trustworthy Chatbots in&#xa0;E-Commerce: An LLM-as-a-Judge Approach for&#xa0;Ethical Evaluation,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-96235-6_30,Tamás JanuskoRicardo BochniaMoritz HarnischAnna-Magdalena KraußDaniel RichterGunnar HempelSteffen TomschkeJürgen AnkeMaik Thiele,2025,https://link.springer.com/chapter/10.1007/978-3-031-96235-6_30,Conference paper
Leveraging machines to derive domain models from user stories,Requirements Engineering,,,,10.1007/s00766-025-00442-9,Maxim BragilovskiAshley T. van CanFabiano DalpiazArnon Sturm,2025,https://link.springer.com/article/10.1007/s00766-025-00442-9,Article
TruDevOps: Towards Pairing Agile Software Development Curriculum with AI-Agile DevOps,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-95127-5_17,Chen-Yeou YuPaige SuWensheng Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-95127-5_17,Conference paper
Privacy Requirements Acquisition and Analysis,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_9,Mitra Bokaei HosseiniTravis Breaux,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_9,Chapter
Exploring Behavior-Driven Development for Code Generation,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-95-0014-7_4,Yunhao LiangChengguang GanRuixuan YingZhe Cui,2025,https://link.springer.com/chapter/10.1007/978-981-95-0014-7_4,Conference paper
OntoAligner: A Comprehensive Modular and&#xa0;Robust Python Toolkit for&#xa0;Ontology Alignment,The Semantic Web,,,,10.1007/978-3-031-94578-6_10,Hamed Babaei GiglouJennifer D’SouzaOliver KarrasSören Auer,2025,https://link.springer.com/chapter/10.1007/978-3-031-94578-6_10,Conference paper
Tracing content requirements in financial documents using multi-granularity text analysis,Requirements Engineering,,,,10.1007/s00766-025-00436-7,Xiaochen LiDomenico BianculliLionel Briand,2025,https://link.springer.com/article/10.1007/s00766-025-00436-7,Article
Automated Requirements Relations Extraction,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_7,Quim MotgerXavier Franch,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_7,Chapter
Adopting Large Language Models to&#xa0;Automated System Integration,Intelligent Information Systems,,,,10.1007/978-3-031-94590-8_37,Robin D. Pesl,2025,https://link.springer.com/chapter/10.1007/978-3-031-94590-8_37,Conference paper
End-to-End Implementation of a Practical Use Case,Enterprise Guide for Implementing Generative AI and Agentic AI,,,,10.1007/979-8-8688-1603-1_5,Shakuntala Gupta EdwardRahul BhattacharyaVikas Sinha,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1603-1_5,Chapter
Detecting Redundancies Between User Stories with&#xa0;Graphs and&#xa0;Large Language Models,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_18,Lukas Sebastian HofmannAlexander LauerJens KosiolArno KesperPhilipp WieberAmir RabieyanGabriele Taentzer,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_18,Conference paper
The Return of&#xa0;Formal Requirements Engineering in&#xa0;the&#xa0;Era of&#xa0;Large Language Models,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-57327-9_22,Paola SpoletiniAlessio Ferrari,2024,https://link.springer.com/chapter/10.1007/978-3-031-57327-9_22,Conference paper
LadderChat An LLM-Based Conversational Agent for&#xa0;Laddering Interviews,Chatbots and Human-Centered AI,,,,10.1007/978-3-031-88045-2_4,Leon HanschmannMarvin MokelkeAlexander Maedche,2025,https://link.springer.com/chapter/10.1007/978-3-031-88045-2_4,Conference paper
A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,Empirical Software Engineering,,,,10.1007/s10664-024-10491-3,Muhammad Ilyas AzeemSallam Abualhaija,2024,https://link.springer.com/article/10.1007/s10664-024-10491-3,Article
Exploring large language models in enterprise modeling,Discover Artificial Intelligence,,,,10.1007/s44163-025-00585-2,Benjamin NastLeon GörgenEric MüllerMarcus TrillerKurt Sandkuhl,2025,https://link.springer.com/article/10.1007/s44163-025-00585-2,Article
